section,arm,threshold,A,B,n,n_A,n_B,n_both,jaccard,chance_jaccard,ratio,spearman
7239_liver_sbr_Male_52-U1,SBR,within_type_top5,senepy_score,cdkn1a_counts,45527,2278,1583,146,0.0393,0.02132,1.843,0.0465
7239_liver_sbr_Male_52-U1,SBR,within_type_top5,deepscence_score,cdkn1a_counts,75384,3770,1930,157,0.02832,0.01741,1.627,0.328
7248_liver_sham_Male_26-U1,sham,global_top5,tierA_score,senepy_score,163401,7110,8170,280,0.01867,0.0237,0.788,-0.0265
7248_liver_sham_Male_26-U1,sham,global_top5,tierA_score,deepscence_score,195443,9773,9773,462,0.02421,0.02561,0.945,0.0775
7248_liver_sham_Male_26-U1,sham,global_top5,tierA_score,cdkn1a_counts,195443,9773,7787,326,0.01892,0.02259,0.837,0.0197
7248_liver_sham_Male_26-U1,sham,global_top5,senepy_score,deepscence_score,163401,8170,9030,52,0.00303,0.02633,0.115,-0.1854
7248_liver_sham_Male_26-U1,sham,global_top5,senepy_score,cdkn1a_counts,163401,8170,6899,468,0.03205,0.02362,1.357,0.042
7248_liver_sham_Male_26-U1,sham,global_top5,deepscence_score,cdkn1a_counts,195443,9773,7787,502,0.02943,0.02283,1.289,0.045
7248_liver_sham_Male_26-U1,sham,within_type_top5,tierA_score,senepy_score,163401,8171,8173,209,0.01295,0.02533,0.511,-0.0265
7248_liver_sham_Male_26-U1,sham,within_type_top5,tierA_score,deepscence_score,195443,9775,9776,679,0.03598,0.02591,1.389,0.0775
7248_liver_sham_Male_26-U1,sham,within_type_top5,tierA_score,cdkn1a_counts,195443,9775,7579,342,0.0201,0.02228,0.902,0.0197
7248_liver_sham_Male_26-U1,sham,within_type_top5,senepy_score,deepscence_score,163401,8173,8172,173,0.0107,0.02528,0.423,-0.1854
7248_liver_sham_Male_26-U1,sham,within_type_top5,senepy_score,cdkn1a_counts,163401,8173,6899,635,0.04398,0.0239,1.84,0.042
7248_liver_sham_Male_26-U1,sham,within_type_top5,deepscence_score,cdkn1a_counts,195443,9776,7579,362,0.0213,0.02231,0.955,0.045
7250_liver_sham_Male_26-U1,sham,global_top5,tierA_score,senepy_score,183070,8442,9154,323,0.0187,0.02444,0.765,-0.0235
7250_liver_sham_Male_26-U1,sham,global_top5,tierA_score,deepscence_score,218273,10911,10914,872,0.04162,0.02604,1.598,-0.0646
7250_liver_sham_Male_26-U1,sham,global_top5,tierA_score,cdkn1a_counts,218273,10911,1591,98,0.0079,0.00641,1.232,0.0032
7250_liver_sham_Male_26-U1,sham,global_top5,senepy_score,deepscence_score,183070,9154,8045,1661,0.1069,0.02589,4.129,0.1184
7250_liver_sham_Male_26-U1,sham,global_top5,senepy_score,cdkn1a_counts,183070,9154,1237,91,0.00883,0.00601,1.471,0.0124
7250_liver_sham_Male_26-U1,sham,global_top5,deepscence_score,cdkn1a_counts,218273,10914,1591,235,0.01915,0.00648,2.954,0.0414
7250_liver_sham_Male_26-U1,sham,within_type_top5,tierA_score,senepy_score,183070,9152,9155,278,0.01542,0.02539,0.607,-0.0235
7250_liver_sham_Male_26-U1,sham,within_type_top5,tierA_score,deepscence_score,218273,10915,10912,656,0.03099,0.02577,1.202,-0.0646
7250_liver_sham_Male_26-U1,sham,within_type_top5,tierA_score,cdkn1a_counts,218273,10915,1516,64,0.00518,0.00613,0.844,0.0032
7250_liver_sham_Male_26-U1,sham,within_type_top5,senepy_score,deepscence_score,183070,9155,9149,635,0.03594,0.02589,1.388,0.1184
7250_liver_sham_Male_26-U1,sham,within_type_top5,senepy_score,cdkn1a_counts,183070,9155,1237,103,0.01001,0.00601,1.665,0.0124
7250_liver_sham_Male_26-U1,sham,within_type_top5,deepscence_score,cdkn1a_counts,218273,10912,1516,190,0.01553,0.00619,2.507,0.0414
7259_liver_sbr_Male_26-U1,SBR,global_top5,tierA_score,senepy_score,63357,2851,3168,99,0.01672,0.02408,0.694,-0.007
7259_liver_sbr_Male_26-U1,SBR,global_top5,tierA_score,deepscence_score,114721,5735,5736,238,0.02119,0.02553,0.83,0.0529
7259_liver_sbr_Male_26-U1,SBR,global_top5,tierA_score,cdkn1a_counts,114721,5735,5240,112,0.01031,0.02411,0.428,0.0205
7259_liver_sbr_Male_26-U1,SBR,global_top5,senepy_score,deepscence_score,63357,3168,3959,7,0.00098,0.0278,0.035,-0.2545
7259_liver_sbr_Male_26-U1,SBR,global_top5,senepy_score,cdkn1a_counts,63357,3168,4144,180,0.02524,0.02905,0.869,0.0269
7259_liver_sbr_Male_26-U1,SBR,global_top5,deepscence_score,cdkn1a_counts,114721,5736,5240,594,0.05721,0.02524,2.267,0.1184
7259_liver_sbr_Male_26-U1,SBR,within_type_top5,tierA_score,senepy_score,63357,3170,3171,85,0.01359,0.02536,0.536,-0.007
7259_liver_sbr_Male_26-U1,SBR,within_type_top5,tierA_score,deepscence_score,114721,5740,5741,386,0.03479,0.02589,1.344,0.0529
7259_liver_sbr_Male_26-U1,SBR,within_type_top5,tierA_score,cdkn1a_counts,114721,5740,2167,73,0.00932,0.01384,0.673,0.0205
7259_liver_sbr_Male_26-U1,SBR,within_type_top5,senepy_score,deepscence_score,63357,3171,3171,70,0.01116,0.0253,0.441,-0.2545
7259_liver_sbr_Male_26-U1,SBR,within_type_top5,senepy_score,cdkn1a_counts,63357,3171,1170,129,0.03063,0.0139,2.203,0.0269
7259_liver_sbr_Male_26-U1,SBR,within_type_top5,deepscence_score,cdkn1a_counts,114721,5741,2167,147,0.01894,0.01397,1.356,0.1184
7260_liver_sbr_Male_26-U1,SBR,global_top5,tierA_score,senepy_score,106373,4551,5319,78,0.00797,0.02324,0.343,0.0157
7260_liver_sbr_Male_26-U1,SBR,global_top5,tierA_score,deepscence_score,180669,9031,9034,435,0.02467,0.02561,0.963,0.1024
7260_liver_sbr_Male_26-U1,SBR,global_top5,tierA_score,cdkn1a_counts,180669,9031,2497,140,0.01229,0.01096,1.122,0.0535
7260_liver_sbr_Male_26-U1,SBR,global_top5,senepy_score,deepscence_score,106373,5319,5474,92,0.0086,0.02558,0.336,-0.0327
7260_liver_sbr_Male_26-U1,SBR,global_top5,senepy_score,cdkn1a_counts,106373,5319,1535,167,0.02497,0.01148,2.176,0.0981
7260_liver_sbr_Male_26-U1,SBR,global_top5,deepscence_score,cdkn1a_counts,180669,9034,2497,182,0.01604,0.011,1.458,0.0989
7260_liver_sbr_Male_26-U1,SBR,within_type_top5,tierA_score,senepy_score,106373,5321,5321,142,0.01352,0.02535,0.533,0.0157
7260_liver_sbr_Male_26-U1,SBR,within_type_top5,tierA_score,deepscence_score,180669,9038,9036,589,0.03369,0.02585,1.303,0.1024
7260_liver_sbr_Male_26-U1,SBR,within_type_top5,tierA_score,cdkn1a_counts,180669,9038,5500,224,0.01565,0.01922,0.814,0.0535
7260_liver_sbr_Male_26-U1,SBR,within_type_top5,senepy_score,deepscence_score,106373,5321,5319,121,0.0115,0.02529,0.455,-0.0327
7260_liver_sbr_Male_26-U1,SBR,within_type_top5,senepy_score,cdkn1a_counts,106373,5321,3306,337,0.04065,0.01995,2.038,0.0981
7260_liver_sbr_Male_26-U1,SBR,within_type_top5,deepscence_score,cdkn1a_counts,180669,9036,5500,252,0.01764,0.01926,0.916,0.0989
7352_liver_sham_Male_2-U1,sham,global_top5,tierA_score,senepy_score,103290,4808,5165,145,0.01475,0.02446,0.603,-0.0307
7352_liver_sham_Male_2-U1,sham,global_top5,tierA_score,deepscence_score,122380,6119,6119,407,0.0344,0.02586,1.33,0.1646
7352_liver_sham_Male_2-U1,sham,global_top5,tierA_score,cdkn1a_counts,122380,6119,1013,27,0.0038,0.00713,0.533,0.0254
7352_liver_sham_Male_2-U1,sham,global_top5,senepy_score,deepscence_score,103290,5165,6040,44,0.00394,0.02706,0.146,-0.163
7352_liver_sham_Male_2-U1,sham,global_top5,senepy_score,cdkn1a_counts,103290,5165,912,41,0.00679,0.00756,0.899,0.0232
7352_liver_sham_Male_2-U1,sham,global_top5,deepscence_score,cdkn1a_counts,122380,6119,1013,42,0.00592,0.00714,0.829,0.0596
7352_liver_sham_Male_2-U1,sham,within_type_top5,tierA_score,senepy_score,103290,5165,5166,173,0.01703,0.02543,0.67,-0.0307
7352_liver_sham_Male_2-U1,sham,within_type_top5,tierA_score,deepscence_score,122380,6121,6121,440,0.03728,0.02594,1.437,0.1646
7352_liver_sham_Male_2-U1,sham,within_type_top5,tierA_score,cdkn1a_counts,122380,6121,1777,64,0.00817,0.01135,0.72,0.0254
7352_liver_sham_Male_2-U1,sham,within_type_top5,senepy_score,deepscence_score,103290,5166,5166,93,0.00908,0.02523,0.36,-0.163
7352_liver_sham_Male_2-U1,sham,within_type_top5,senepy_score,cdkn1a_counts,103290,5166,1222,119,0.01898,0.00975,1.947,0.0232
7352_liver_sham_Male_2-U1,sham,within_type_top5,deepscence_score,cdkn1a_counts,122380,6121,1777,63,0.00804,0.01134,0.709,0.0596
7361_liver_sbr_Male_2-U1,SBR,global_top5,tierA_score,senepy_score,136384,6261,6820,147,0.01137,0.02421,0.47,-0.0003
7361_liver_sbr_Male_2-U1,SBR,global_top5,tierA_score,deepscence_score,161579,8079,8079,474,0.03022,0.02576,1.173,0.1433
7361_liver_sbr_Male_2-U1,SBR,global_top5,tierA_score,cdkn1a_counts,161579,8079,7768,327,0.02107,0.02503,0.842,0.0701
7361_liver_sbr_Male_2-U1,SBR,global_top5,senepy_score,deepscence_score,136384,6820,7931,72,0.0049,0.02702,0.182,-0.0671
7361_liver_sbr_Male_2-U1,SBR,global_top5,senepy_score,cdkn1a_counts,136384,6820,6931,448,0.03368,0.02605,1.293,0.0931
7361_liver_sbr_Male_2-U1,SBR,global_top5,deepscence_score,cdkn1a_counts,161579,8079,7768,662,0.0436,0.02558,1.704,0.2121
7361_liver_sbr_Male_2-U1,SBR,within_type_top5,tierA_score,senepy_score,136384,6821,6821,177,0.01315,0.02534,0.519,-0.0003
7361_liver_sbr_Male_2-U1,SBR,within_type_top5,tierA_score,deepscence_score,161579,8082,8081,531,0.03397,0.02586,1.314,0.1433
7361_liver_sbr_Male_2-U1,SBR,within_type_top5,tierA_score,cdkn1a_counts,161579,8082,3594,131,0.01135,0.01557,0.729,0.0701
7361_liver_sbr_Male_2-U1,SBR,within_type_top5,senepy_score,deepscence_score,136384,6821,6820,182,0.01352,0.02534,0.534,-0.0671
7361_liver_sbr_Male_2-U1,SBR,within_type_top5,senepy_score,cdkn1a_counts,136384,6821,2942,408,0.04361,0.01573,2.773,0.0931
7361_liver_sbr_Male_2-U1,SBR,within_type_top5,deepscence_score,cdkn1a_counts,161579,8081,3594,251,0.02197,0.01573,1.396,0.2121
7435_liver_sham_Male_10-U1,sham,global_top5,tierA_score,senepy_score,119459,5468,5973,190,0.01689,0.0243,0.695,-0.0322
7435_liver_sham_Male_10-U1,sham,global_top5,tierA_score,deepscence_score,139768,6989,6988,346,0.02538,0.02563,0.99,0.1027
7435_liver_sham_Male_10-U1,sham,global_top5,tierA_score,cdkn1a_counts,139768,6989,2915,146,0.01496,0.01494,1.002,0.0176
7435_liver_sham_Male_10-U1,sham,global_top5,senepy_score,deepscence_score,119459,5973,6630,70,0.00559,0.02645,0.211,-0.1402
7435_liver_sham_Male_10-U1,sham,global_top5,senepy_score,cdkn1a_counts,119459,5973,2594,158,0.01879,0.01542,1.218,0.0131
7435_liver_sham_Male_10-U1,sham,global_top5,deepscence_score,cdkn1a_counts,139768,6988,2915,138,0.01413,0.01492,0.947,0.0147
7435_liver_sham_Male_10-U1,sham,within_type_top5,tierA_score,senepy_score,119459,5975,5976,150,0.01271,0.02533,0.502,-0.0322
7435_liver_sham_Male_10-U1,sham,within_type_top5,tierA_score,deepscence_score,139768,6992,6993,451,0.03332,0.02585,1.289,0.1027
7435_liver_sham_Male_10-U1,sham,within_type_top5,tierA_score,cdkn1a_counts,139768,6992,2751,124,0.01289,0.01431,0.901,0.0176
7435_liver_sham_Male_10-U1,sham,within_type_top5,senepy_score,deepscence_score,119459,5976,5976,102,0.00861,0.02523,0.341,-0.1402
7435_liver_sham_Male_10-U1,sham,within_type_top5,senepy_score,cdkn1a_counts,119459,5976,2505,182,0.02193,0.0151,1.452,0.0131
7435_liver_sham_Male_10-U1,sham,within_type_top5,deepscence_score,cdkn1a_counts,139768,6993,2751,115,0.01194,0.01429,0.836,0.0147
7448_liver_sbr_Male_10-U1,SBR,global_top5,tierA_score,senepy_score,87313,3172,4366,42,0.0056,0.02116,0.265,0.0561
7448_liver_sbr_Male_10-U1,SBR,global_top5,tierA_score,deepscence_score,162303,8114,8116,430,0.02722,0.02568,1.06,0.1093
7448_liver_sbr_Male_10-U1,SBR,global_top5,tierA_score,cdkn1a_counts,162303,8114,4887,139,0.01081,0.019,0.569,0.0757
7448_liver_sbr_Male_10-U1,SBR,global_top5,senepy_score,deepscence_score,87313,4366,4400,144,0.0167,0.02552,0.654,0.2027
7448_liver_sbr_Male_10-U1,SBR,global_top5,senepy_score,cdkn1a_counts,87313,4366,3796,521,0.06818,0.02484,2.745,0.188
7448_liver_sbr_Male_10-U1,SBR,global_top5,deepscence_score,cdkn1a_counts,162303,8116,4887,379,0.03002,0.01936,1.551,0.1864
7448_liver_sbr_Male_10-U1,SBR,within_type_top5,tierA_score,senepy_score,87313,4367,4368,112,0.01299,0.02534,0.513,0.0561
7448_liver_sbr_Male_10-U1,SBR,within_type_top5,tierA_score,deepscence_score,162303,8119,8121,526,0.03347,0.02585,1.295,0.1093
7448_liver_sbr_Male_10-U1,SBR,within_type_top5,tierA_score,cdkn1a_counts,162303,8119,3926,151,0.0127,0.01651,0.769,0.0757
7448_liver_sbr_Male_10-U1,SBR,within_type_top5,senepy_score,deepscence_score,87313,4368,4369,72,0.00831,0.02522,0.329,0.2027
7448_liver_sbr_Male_10-U1,SBR,within_type_top5,senepy_score,cdkn1a_counts,87313,4368,2123,225,0.03591,0.01695,2.119,0.188
7448_liver_sbr_Male_10-U1,SBR,within_type_top5,deepscence_score,cdkn1a_counts,162303,8121,3926,171,0.0144,0.01654,0.87,0.1864
7450_liver_sbr_Male_10-U1,SBR,global_top5,tierA_score,senepy_score,59284,2530,2965,68,0.01253,0.02332,0.537,-0.0419
7450_liver_sbr_Male_10-U1,SBR,global_top5,tierA_score,deepscence_score,81428,4072,4072,138,0.01724,0.02543,0.678,0.0759
7450_liver_sbr_Male_10-U1,SBR,global_top5,tierA_score,cdkn1a_counts,81428,4072,2969,90,0.01295,0.02136,0.606,0.0549
7450_liver_sbr_Male_10-U1,SBR,global_top5,senepy_score,deepscence_score,59284,2965,3838,16,0.00236,0.02828,0.083,-0.2628
7450_liver_sbr_Male_10-U1,SBR,global_top5,senepy_score,cdkn1a_counts,59284,2965,2109,125,0.02526,0.02131,1.185,0.0372
7450_liver_sbr_Male_10-U1,SBR,global_top5,deepscence_score,cdkn1a_counts,81428,4072,2969,291,0.04311,0.022,1.96,0.2353
7450_liver_sbr_Male_10-U1,SBR,within_type_top5,tierA_score,senepy_score,59284,2965,2966,73,0.01246,0.02532,0.492,-0.0419
7450_liver_sbr_Male_10-U1,SBR,within_type_top5,tierA_score,deepscence_score,81428,4075,4076,270,0.03426,0.02588,1.324,0.0759
7450_liver_sbr_Male_10-U1,SBR,within_type_top5,tierA_score,cdkn1a_counts,81428,4075,974,35,0.00698,0.00972,0.718,0.0549
7450_liver_sbr_Male_10-U1,SBR,within_type_top5,senepy_score,deepscence_score,59284,2966,2966,88,0.01506,0.02539,0.593,-0.2628
7450_liver_sbr_Male_10-U1,SBR,within_type_top5,senepy_score,cdkn1a_counts,59284,2966,785,117,0.0322,0.01081,2.979,0.0372
7450_liver_sbr_Male_10-U1,SBR,within_type_top5,deepscence_score,cdkn1a_counts,81428,4076,974,71,0.01426,0.00979,1.456,0.2353
