section,arm,ds_variant,A,B,circular,n,n_strata,n_A,n_B,n_both,jaccard,chance,ratio_marginal,exp_both_stratified,sd_both_stratified,ratio_stratified,z
7239_liver_sbr_Male_52-U1,SBR,published,tierA_score,deepscence_published,False,75384,110,3826,3827,323,0.04407,0.0265,1.663,194.53,13.248,1.66,9.7
7239_liver_sbr_Male_52-U1,SBR,published,senepy_score,deepscence_published,False,45527,60,2309,2309,61,0.01339,0.0257,0.521,117.21,10.284,0.52,-5.47
7239_liver_sbr_Male_52-U1,SBR,published,cdkn1a_counts,deepscence_published,True,75384,110,1764,3827,164,0.03022,0.0165,1.831,89.61,9.076,1.83,8.2
7239_liver_sbr_Male_52-U1,SBR,prolif,tierA_score,deepscence_prolif,False,75384,110,3826,3827,323,0.04407,0.0265,1.663,194.53,13.248,1.66,9.7
7239_liver_sbr_Male_52-U1,SBR,prolif,senepy_score,deepscence_prolif,False,45527,60,2309,2309,61,0.01339,0.0257,0.521,117.21,10.284,0.52,-5.47
7239_liver_sbr_Male_52-U1,SBR,prolif,cdkn1a_counts,deepscence_prolif,False,75384,110,1764,3827,164,0.03022,0.0165,1.831,89.61,9.076,1.83,8.2
7239_liver_sbr_Male_52-U1,SBR,lmnb1,tierA_score,deepscence_lmnb1,False,75384,110,3826,3827,323,0.04407,0.0265,1.663,194.53,13.248,1.66,9.7
7239_liver_sbr_Male_52-U1,SBR,lmnb1,senepy_score,deepscence_lmnb1,False,45527,60,2309,2309,61,0.01339,0.0257,0.521,117.21,10.284,0.52,-5.47
7239_liver_sbr_Male_52-U1,SBR,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,75384,110,1764,3827,164,0.03022,0.0165,1.831,89.61,9.076,1.83,8.2
7239_liver_sbr_Male_52-U1,SBR,consensus,tierA_score,deepscence_consensus,True,75384,110,3826,3827,323,0.04407,0.0265,1.663,194.53,13.248,1.66,9.7
7239_liver_sbr_Male_52-U1,SBR,consensus,senepy_score,deepscence_consensus,True,45527,60,2309,2309,61,0.01339,0.0257,0.521,117.21,10.284,0.52,-5.47
7239_liver_sbr_Male_52-U1,SBR,consensus,cdkn1a_counts,deepscence_consensus,True,75384,110,1764,3827,164,0.03022,0.0165,1.831,89.61,9.076,1.83,8.2
7239_liver_sbr_Male_52-U1,SBR,abs,tierA_score,deepscence_abs,False,75384,110,3826,3827,318,0.04335,0.02648,1.637,194.53,13.248,1.635,9.32
7239_liver_sbr_Male_52-U1,SBR,abs,senepy_score,deepscence_abs,False,45527,60,2309,2309,161,0.03612,0.02627,1.375,117.21,10.284,1.374,4.26
7239_liver_sbr_Male_52-U1,SBR,abs,cdkn1a_counts,deepscence_abs,False,75384,110,1764,3827,133,0.02437,0.01641,1.485,89.61,9.076,1.484,4.78
7248_liver_sham_Male_26-U1,sham,published,tierA_score,deepscence_published,False,195443,100,9813,9813,643,0.03387,0.02595,1.305,492.8,21.09,1.305,7.12
7248_liver_sham_Male_26-U1,sham,published,senepy_score,deepscence_published,False,163401,60,8193,8194,186,0.01148,0.02536,0.453,410.88,19.257,0.453,-11.68
7248_liver_sham_Male_26-U1,sham,published,cdkn1a_counts,deepscence_published,True,195443,100,4187,9813,209,0.01515,0.01524,0.994,210.18,13.931,0.994,-0.08
7248_liver_sham_Male_26-U1,sham,prolif,tierA_score,deepscence_prolif,False,195443,100,9813,9813,643,0.03387,0.02595,1.305,492.8,21.09,1.305,7.12
7248_liver_sham_Male_26-U1,sham,prolif,senepy_score,deepscence_prolif,False,163401,60,8193,8194,186,0.01148,0.02536,0.453,410.88,19.257,0.453,-11.68
7248_liver_sham_Male_26-U1,sham,prolif,cdkn1a_counts,deepscence_prolif,False,195443,100,4187,9813,209,0.01515,0.01524,0.994,210.18,13.931,0.994,-0.08
7248_liver_sham_Male_26-U1,sham,lmnb1,tierA_score,deepscence_lmnb1,False,195443,100,9813,9813,643,0.03387,0.02595,1.305,492.8,21.09,1.305,7.12
7248_liver_sham_Male_26-U1,sham,lmnb1,senepy_score,deepscence_lmnb1,False,163401,60,8193,8194,186,0.01148,0.02536,0.453,410.88,19.257,0.453,-11.68
7248_liver_sham_Male_26-U1,sham,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,195443,100,4187,9813,209,0.01515,0.01524,0.994,210.18,13.931,0.994,-0.08
7248_liver_sham_Male_26-U1,sham,consensus,tierA_score,deepscence_consensus,True,195443,100,9813,9815,405,0.02107,0.02564,0.822,492.9,21.092,0.822,-4.17
7248_liver_sham_Male_26-U1,sham,consensus,senepy_score,deepscence_consensus,True,163401,60,8193,8195,1561,0.10528,0.02771,3.799,410.94,19.258,3.799,59.72
7248_liver_sham_Male_26-U1,sham,consensus,cdkn1a_counts,deepscence_consensus,True,195443,100,4187,9815,274,0.01996,0.01532,1.303,210.19,13.932,1.304,4.58
7248_liver_sham_Male_26-U1,sham,abs,tierA_score,deepscence_abs,False,195443,100,9813,9816,650,0.03425,0.02597,1.319,492.96,21.093,1.319,7.45
7248_liver_sham_Male_26-U1,sham,abs,senepy_score,deepscence_abs,False,163401,60,8193,8195,498,0.03134,0.02586,1.212,410.94,19.258,1.212,4.52
7248_liver_sham_Male_26-U1,sham,abs,cdkn1a_counts,deepscence_abs,False,195443,100,4187,9816,226,0.0164,0.01526,1.075,210.2,13.932,1.075,1.13
7250_liver_sham_Male_26-U1,sham,published,tierA_score,deepscence_published,False,218273,120,10957,10961,610,0.02863,0.02582,1.109,550.32,22.287,1.108,2.68
7250_liver_sham_Male_26-U1,sham,published,senepy_score,deepscence_published,False,183070,60,9181,9181,990,0.05699,0.0265,2.15,460.5,20.386,2.15,25.97
7250_liver_sham_Male_26-U1,sham,published,cdkn1a_counts,deepscence_published,True,218273,120,1514,10961,217,0.0177,0.0062,2.854,76.18,8.462,2.849,16.64
7250_liver_sham_Male_26-U1,sham,prolif,tierA_score,deepscence_prolif,False,218273,120,10957,10947,479,0.02236,0.02565,0.872,549.6,22.273,0.872,-3.17
7250_liver_sham_Male_26-U1,sham,prolif,senepy_score,deepscence_prolif,False,183070,60,9181,9172,273,0.0151,0.02544,0.594,460.03,20.376,0.593,-9.18
7250_liver_sham_Male_26-U1,sham,prolif,cdkn1a_counts,deepscence_prolif,False,218273,120,1514,10947,36,0.0029,0.00611,0.474,76.14,8.46,0.473,-4.74
7250_liver_sham_Male_26-U1,sham,lmnb1,tierA_score,deepscence_lmnb1,False,218273,120,10957,10947,479,0.02236,0.02565,0.872,549.6,22.273,0.872,-3.17
7250_liver_sham_Male_26-U1,sham,lmnb1,senepy_score,deepscence_lmnb1,False,183070,60,9181,9172,273,0.0151,0.02544,0.594,460.03,20.376,0.593,-9.18
7250_liver_sham_Male_26-U1,sham,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,218273,120,1514,10947,36,0.0029,0.00611,0.474,76.14,8.46,0.473,-4.74
7250_liver_sham_Male_26-U1,sham,consensus,tierA_score,deepscence_consensus,True,218273,120,10957,10961,610,0.02863,0.02582,1.109,550.32,22.287,1.108,2.68
7250_liver_sham_Male_26-U1,sham,consensus,senepy_score,deepscence_consensus,True,183070,60,9181,9181,990,0.05699,0.0265,2.15,460.5,20.386,2.15,25.97
7250_liver_sham_Male_26-U1,sham,consensus,cdkn1a_counts,deepscence_consensus,True,218273,120,1514,10961,217,0.0177,0.0062,2.854,76.18,8.462,2.849,16.64
7250_liver_sham_Male_26-U1,sham,abs,tierA_score,deepscence_abs,False,218273,120,10957,10957,516,0.02411,0.0257,0.938,550.12,22.283,0.938,-1.53
7250_liver_sham_Male_26-U1,sham,abs,senepy_score,deepscence_abs,False,183070,60,9181,9178,418,0.0233,0.02566,0.908,460.35,20.383,0.908,-2.08
7250_liver_sham_Male_26-U1,sham,abs,cdkn1a_counts,deepscence_abs,False,218273,120,1514,10957,103,0.00833,0.00614,1.355,76.15,8.461,1.353,3.17
7259_liver_sbr_Male_26-U1,SBR,published,tierA_score,deepscence_published,False,114721,90,5767,5768,381,0.03416,0.026,1.314,290.02,16.18,1.314,5.62
7259_liver_sbr_Male_26-U1,SBR,published,senepy_score,deepscence_published,False,63357,50,3185,3185,61,0.00967,0.02538,0.381,160.12,12.022,0.381,-8.24
7259_liver_sbr_Male_26-U1,SBR,published,cdkn1a_counts,deepscence_published,True,114721,90,2218,5768,168,0.02149,0.01426,1.506,111.64,10.166,1.505,5.54
7259_liver_sbr_Male_26-U1,SBR,prolif,tierA_score,deepscence_prolif,False,114721,90,5767,5768,381,0.03416,0.026,1.314,290.02,16.18,1.314,5.62
7259_liver_sbr_Male_26-U1,SBR,prolif,senepy_score,deepscence_prolif,False,63357,50,3185,3185,61,0.00967,0.02538,0.381,160.12,12.022,0.381,-8.24
7259_liver_sbr_Male_26-U1,SBR,prolif,cdkn1a_counts,deepscence_prolif,False,114721,90,2218,5768,168,0.02149,0.01426,1.506,111.64,10.166,1.505,5.54
7259_liver_sbr_Male_26-U1,SBR,lmnb1,tierA_score,deepscence_lmnb1,False,114721,90,5767,5768,381,0.03416,0.026,1.314,290.02,16.18,1.314,5.62
7259_liver_sbr_Male_26-U1,SBR,lmnb1,senepy_score,deepscence_lmnb1,False,63357,50,3185,3185,61,0.00967,0.02538,0.381,160.12,12.022,0.381,-8.24
7259_liver_sbr_Male_26-U1,SBR,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,114721,90,2218,5768,168,0.02149,0.01426,1.506,111.64,10.166,1.505,5.54
7259_liver_sbr_Male_26-U1,SBR,consensus,tierA_score,deepscence_consensus,True,114721,90,5767,5767,287,0.02552,0.02578,0.99,289.97,16.179,0.99,-0.18
7259_liver_sbr_Male_26-U1,SBR,consensus,senepy_score,deepscence_consensus,True,63357,50,3185,3185,521,0.08908,0.02737,3.254,160.12,12.022,3.254,30.02
7259_liver_sbr_Male_26-U1,SBR,consensus,cdkn1a_counts,deepscence_consensus,True,114721,90,2218,5767,84,0.01063,0.01411,0.753,111.63,10.165,0.753,-2.72
7259_liver_sbr_Male_26-U1,SBR,abs,tierA_score,deepscence_abs,False,114721,90,5767,5765,414,0.03724,0.02607,1.429,289.87,16.176,1.428,7.67
7259_liver_sbr_Male_26-U1,SBR,abs,senepy_score,deepscence_abs,False,63357,50,3185,3182,170,0.02743,0.02581,1.063,159.97,12.017,1.063,0.83
7259_liver_sbr_Male_26-U1,SBR,abs,cdkn1a_counts,deepscence_abs,False,114721,90,2218,5765,154,0.01967,0.01424,1.382,111.59,10.164,1.38,4.17
7260_liver_sbr_Male_26-U1,SBR,published,tierA_score,deepscence_published,False,180669,120,9081,9081,626,0.0357,0.02603,1.371,456.49,20.298,1.371,8.35
7260_liver_sbr_Male_26-U1,SBR,published,senepy_score,deepscence_published,False,106373,70,5345,5349,136,0.01288,0.02546,0.506,268.82,15.577,0.506,-8.53
7260_liver_sbr_Male_26-U1,SBR,published,cdkn1a_counts,deepscence_published,True,180669,120,4191,9081,211,0.01615,0.01613,1.002,210.68,13.934,1.002,0.02
7260_liver_sbr_Male_26-U1,SBR,prolif,tierA_score,deepscence_prolif,False,180669,120,9081,9081,626,0.0357,0.02603,1.371,456.49,20.298,1.371,8.35
7260_liver_sbr_Male_26-U1,SBR,prolif,senepy_score,deepscence_prolif,False,106373,70,5345,5349,136,0.01288,0.02546,0.506,268.82,15.577,0.506,-8.53
7260_liver_sbr_Male_26-U1,SBR,prolif,cdkn1a_counts,deepscence_prolif,False,180669,120,4191,9081,211,0.01615,0.01613,1.002,210.68,13.934,1.002,0.02
7260_liver_sbr_Male_26-U1,SBR,lmnb1,tierA_score,deepscence_lmnb1,False,180669,120,9081,9081,626,0.0357,0.02603,1.371,456.49,20.298,1.371,8.35
7260_liver_sbr_Male_26-U1,SBR,lmnb1,senepy_score,deepscence_lmnb1,False,106373,70,5345,5349,136,0.01288,0.02546,0.506,268.82,15.577,0.506,-8.53
7260_liver_sbr_Male_26-U1,SBR,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,180669,120,4191,9081,211,0.01615,0.01613,1.002,210.68,13.934,1.002,0.02
7260_liver_sbr_Male_26-U1,SBR,consensus,tierA_score,deepscence_consensus,True,180669,120,9081,9082,395,0.02223,0.02569,0.865,456.54,20.299,0.865,-3.03
7260_liver_sbr_Male_26-U1,SBR,consensus,senepy_score,deepscence_consensus,True,106373,70,5345,5348,951,0.09762,0.02758,3.539,268.77,15.575,3.538,43.8
7260_liver_sbr_Male_26-U1,SBR,consensus,cdkn1a_counts,deepscence_consensus,True,180669,120,4191,9082,189,0.01445,0.0161,0.897,210.66,13.934,0.897,-1.55
7260_liver_sbr_Male_26-U1,SBR,abs,tierA_score,deepscence_abs,False,180669,120,9081,9082,620,0.03534,0.02602,1.358,456.54,20.299,1.358,8.05
7260_liver_sbr_Male_26-U1,SBR,abs,senepy_score,deepscence_abs,False,106373,70,5345,5349,307,0.02956,0.02588,1.142,268.82,15.577,1.142,2.45
7260_liver_sbr_Male_26-U1,SBR,abs,cdkn1a_counts,deepscence_abs,False,180669,120,4191,9082,184,0.01406,0.0161,0.873,210.67,13.934,0.873,-1.91
7352_liver_sham_Male_2-U1,sham,published,tierA_score,deepscence_published,False,122380,98,6159,6160,411,0.03451,0.02603,1.326,310.38,16.737,1.324,6.01
7352_liver_sham_Male_2-U1,sham,published,senepy_score,deepscence_published,False,103290,50,5187,5188,141,0.01378,0.02546,0.541,260.58,15.335,0.541,-7.8
7352_liver_sham_Male_2-U1,sham,published,cdkn1a_counts,deepscence_published,True,122380,98,2450,6160,119,0.01401,0.01452,0.965,123.53,10.683,0.963,-0.42
7352_liver_sham_Male_2-U1,sham,prolif,tierA_score,deepscence_prolif,False,122380,98,6159,6160,411,0.03451,0.02603,1.326,310.38,16.737,1.324,6.01
7352_liver_sham_Male_2-U1,sham,prolif,senepy_score,deepscence_prolif,False,103290,50,5187,5188,141,0.01378,0.02546,0.541,260.58,15.335,0.541,-7.8
7352_liver_sham_Male_2-U1,sham,prolif,cdkn1a_counts,deepscence_prolif,False,122380,98,2450,6160,119,0.01401,0.01452,0.965,123.53,10.683,0.963,-0.42
7352_liver_sham_Male_2-U1,sham,lmnb1,tierA_score,deepscence_lmnb1,False,122380,98,6159,6160,411,0.03451,0.02603,1.326,310.38,16.737,1.324,6.01
7352_liver_sham_Male_2-U1,sham,lmnb1,senepy_score,deepscence_lmnb1,False,103290,50,5187,5188,141,0.01378,0.02546,0.541,260.58,15.335,0.541,-7.8
7352_liver_sham_Male_2-U1,sham,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,122380,98,2450,6160,119,0.01401,0.01452,0.965,123.53,10.683,0.963,-0.42
7352_liver_sham_Male_2-U1,sham,consensus,tierA_score,deepscence_consensus,True,122380,98,6159,6161,266,0.02207,0.02572,0.858,310.43,16.738,0.857,-2.65
7352_liver_sham_Male_2-U1,sham,consensus,senepy_score,deepscence_consensus,True,103290,50,5187,5189,699,0.07223,0.02693,2.682,260.63,15.337,2.682,28.58
7352_liver_sham_Male_2-U1,sham,consensus,cdkn1a_counts,deepscence_consensus,True,122380,98,2450,6161,114,0.01342,0.01452,0.924,123.57,10.685,0.923,-0.9
7352_liver_sham_Male_2-U1,sham,abs,tierA_score,deepscence_abs,False,122380,98,6159,6160,420,0.0353,0.02605,1.355,310.38,16.737,1.353,6.55
7352_liver_sham_Male_2-U1,sham,abs,senepy_score,deepscence_abs,False,103290,50,5187,5189,239,0.02358,0.02571,0.917,260.63,15.337,0.917,-1.41
7352_liver_sham_Male_2-U1,sham,abs,cdkn1a_counts,deepscence_abs,False,122380,98,2450,6160,122,0.01437,0.01453,0.989,123.57,10.685,0.987,-0.15
7361_liver_sbr_Male_2-U1,SBR,published,tierA_score,deepscence_published,False,161579,100,8102,8104,633,0.04065,0.02609,1.558,407.36,19.174,1.554,11.77
7361_liver_sbr_Male_2-U1,SBR,published,senepy_score,deepscence_published,False,136384,60,6824,6829,188,0.01396,0.02538,0.55,342.68,17.586,0.549,-8.8
7361_liver_sbr_Male_2-U1,SBR,published,cdkn1a_counts,deepscence_published,True,161579,100,3575,8104,274,0.02402,0.01572,1.528,179.66,12.878,1.525,7.33
7361_liver_sbr_Male_2-U1,SBR,prolif,tierA_score,deepscence_prolif,False,161579,100,8102,8104,633,0.04065,0.02609,1.558,407.36,19.174,1.554,11.77
7361_liver_sbr_Male_2-U1,SBR,prolif,senepy_score,deepscence_prolif,False,136384,60,6824,6829,188,0.01396,0.02538,0.55,342.68,17.586,0.549,-8.8
7361_liver_sbr_Male_2-U1,SBR,prolif,cdkn1a_counts,deepscence_prolif,False,161579,100,3575,8104,274,0.02402,0.01572,1.528,179.66,12.878,1.525,7.33
7361_liver_sbr_Male_2-U1,SBR,lmnb1,tierA_score,deepscence_lmnb1,False,161579,100,8102,8104,633,0.04065,0.02609,1.558,407.36,19.174,1.554,11.77
7361_liver_sbr_Male_2-U1,SBR,lmnb1,senepy_score,deepscence_lmnb1,False,136384,60,6824,6829,188,0.01396,0.02538,0.55,342.68,17.586,0.549,-8.8
7361_liver_sbr_Male_2-U1,SBR,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,161579,100,3575,8104,274,0.02402,0.01572,1.528,179.66,12.878,1.525,7.33
7361_liver_sbr_Male_2-U1,SBR,consensus,tierA_score,deepscence_consensus,True,161579,100,8102,8102,222,0.01389,0.02542,0.546,407.26,19.172,0.545,-9.66
7361_liver_sbr_Male_2-U1,SBR,consensus,senepy_score,deepscence_consensus,True,136384,60,6824,6827,631,0.04846,0.02624,1.847,342.58,17.584,1.842,16.4
7361_liver_sbr_Male_2-U1,SBR,consensus,cdkn1a_counts,deepscence_consensus,True,161579,100,3575,8102,22,0.00189,0.01538,0.123,179.63,12.877,0.122,-12.24
7361_liver_sbr_Male_2-U1,SBR,abs,tierA_score,deepscence_abs,False,161579,100,8102,8104,583,0.03732,0.02601,1.435,407.36,19.174,1.431,9.16
7361_liver_sbr_Male_2-U1,SBR,abs,senepy_score,deepscence_abs,False,136384,60,6824,6829,239,0.01782,0.02547,0.699,342.68,17.586,0.697,-5.9
7361_liver_sbr_Male_2-U1,SBR,abs,cdkn1a_counts,deepscence_abs,False,161579,100,3575,8104,208,0.01813,0.01563,1.16,179.66,12.878,1.158,2.2
7435_liver_sham_Male_10-U1,sham,published,tierA_score,deepscence_published,False,139768,100,7024,7024,391,0.02863,0.02585,1.108,353.76,17.868,1.105,2.08
7435_liver_sham_Male_10-U1,sham,published,senepy_score,deepscence_published,False,119459,60,5985,5986,160,0.01355,0.02539,0.534,300.58,16.471,0.532,-8.53
7435_liver_sham_Male_10-U1,sham,published,cdkn1a_counts,deepscence_published,True,139768,100,2747,7024,135,0.01401,0.01433,0.978,138.06,11.298,0.978,-0.27
7435_liver_sham_Male_10-U1,sham,prolif,tierA_score,deepscence_prolif,False,139768,100,7024,7024,391,0.02863,0.02585,1.108,353.76,17.868,1.105,2.08
7435_liver_sham_Male_10-U1,sham,prolif,senepy_score,deepscence_prolif,False,119459,60,5985,5986,160,0.01355,0.02539,0.534,300.58,16.471,0.532,-8.53
7435_liver_sham_Male_10-U1,sham,prolif,cdkn1a_counts,deepscence_prolif,False,139768,100,2747,7024,135,0.01401,0.01433,0.978,138.06,11.298,0.978,-0.27
7435_liver_sham_Male_10-U1,sham,lmnb1,tierA_score,deepscence_lmnb1,False,139768,100,7024,7024,391,0.02863,0.02585,1.108,353.76,17.868,1.105,2.08
7435_liver_sham_Male_10-U1,sham,lmnb1,senepy_score,deepscence_lmnb1,False,119459,60,5985,5986,160,0.01355,0.02539,0.534,300.58,16.471,0.532,-8.53
7435_liver_sham_Male_10-U1,sham,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,139768,100,2747,7024,135,0.01401,0.01433,0.978,138.06,11.298,0.978,-0.27
7435_liver_sham_Male_10-U1,sham,consensus,tierA_score,deepscence_consensus,True,139768,100,7024,7025,316,0.02301,0.02571,0.895,353.81,17.869,0.893,-2.12
7435_liver_sham_Male_10-U1,sham,consensus,senepy_score,deepscence_consensus,True,119459,60,5985,5987,715,0.06352,0.02665,2.384,300.63,16.472,2.378,25.16
7435_liver_sham_Male_10-U1,sham,consensus,cdkn1a_counts,deepscence_consensus,True,139768,100,2747,7025,180,0.01877,0.01439,1.304,138.07,11.298,1.304,3.71
7435_liver_sham_Male_10-U1,sham,abs,tierA_score,deepscence_abs,False,139768,100,7024,7024,393,0.02878,0.02585,1.113,353.76,17.868,1.111,2.2
7435_liver_sham_Male_10-U1,sham,abs,senepy_score,deepscence_abs,False,119459,60,5985,5987,247,0.02107,0.02558,0.823,300.63,16.472,0.822,-3.26
7435_liver_sham_Male_10-U1,sham,abs,cdkn1a_counts,deepscence_abs,False,139768,100,2747,7024,173,0.01802,0.01438,1.253,138.06,11.298,1.253,3.09
7448_liver_sbr_Male_10-U1,SBR,published,tierA_score,deepscence_published,False,162303,110,8133,8136,502,0.03184,0.02586,1.231,408.7,19.207,1.228,4.86
7448_liver_sbr_Male_10-U1,SBR,published,senepy_score,deepscence_published,False,87313,60,4366,4371,73,0.00843,0.02523,0.334,219.57,14.078,0.332,-10.41
7448_liver_sbr_Male_10-U1,SBR,published,cdkn1a_counts,deepscence_published,True,162303,110,3739,8136,201,0.01722,0.01606,1.072,187.68,13.148,1.071,1.01
7448_liver_sbr_Male_10-U1,SBR,prolif,tierA_score,deepscence_prolif,False,162303,110,8133,8136,502,0.03184,0.02586,1.231,408.7,19.207,1.228,4.86
7448_liver_sbr_Male_10-U1,SBR,prolif,senepy_score,deepscence_prolif,False,87313,60,4366,4371,73,0.00843,0.02523,0.334,219.57,14.078,0.332,-10.41
7448_liver_sbr_Male_10-U1,SBR,prolif,cdkn1a_counts,deepscence_prolif,False,162303,110,3739,8136,201,0.01722,0.01606,1.072,187.68,13.148,1.071,1.01
7448_liver_sbr_Male_10-U1,SBR,lmnb1,tierA_score,deepscence_lmnb1,False,162303,110,8133,8136,502,0.03184,0.02586,1.231,408.7,19.207,1.228,4.86
7448_liver_sbr_Male_10-U1,SBR,lmnb1,senepy_score,deepscence_lmnb1,False,87313,60,4366,4371,73,0.00843,0.02523,0.334,219.57,14.078,0.332,-10.41
7448_liver_sbr_Male_10-U1,SBR,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,162303,110,3739,8136,201,0.01722,0.01606,1.072,187.68,13.148,1.071,1.01
7448_liver_sbr_Male_10-U1,SBR,consensus,tierA_score,deepscence_consensus,True,162303,110,8133,8136,351,0.02205,0.02561,0.861,408.7,19.207,0.859,-3.0
7448_liver_sbr_Male_10-U1,SBR,consensus,senepy_score,deepscence_consensus,True,87313,60,4366,4371,775,0.09734,0.02745,3.546,219.57,14.078,3.53,39.45
7448_liver_sbr_Male_10-U1,SBR,consensus,cdkn1a_counts,deepscence_consensus,True,162303,110,3739,8136,137,0.01167,0.01597,0.731,187.69,13.148,0.73,-3.86
7448_liver_sbr_Male_10-U1,SBR,abs,tierA_score,deepscence_abs,False,162303,110,8133,8134,495,0.03138,0.02584,1.214,408.6,19.205,1.211,4.5
7448_liver_sbr_Male_10-U1,SBR,abs,senepy_score,deepscence_abs,False,87313,60,4366,4371,221,0.02595,0.02567,1.011,219.57,14.078,1.007,0.1
7448_liver_sbr_Male_10-U1,SBR,abs,cdkn1a_counts,deepscence_abs,False,162303,110,3739,8134,174,0.01487,0.01602,0.929,187.66,13.148,0.927,-1.04
7450_liver_sbr_Male_10-U1,SBR,published,tierA_score,deepscence_published,False,81428,90,4085,4084,275,0.03484,0.02595,1.342,205.82,13.631,1.336,5.08
7450_liver_sbr_Male_10-U1,SBR,published,senepy_score,deepscence_published,False,59284,50,2983,2983,75,0.01273,0.02548,0.5,150.14,11.641,0.5,-6.45
7450_liver_sbr_Male_10-U1,SBR,published,cdkn1a_counts,deepscence_published,True,81428,90,1813,4084,123,0.0213,0.01575,1.353,91.41,9.175,1.346,3.44
7450_liver_sbr_Male_10-U1,SBR,prolif,tierA_score,deepscence_prolif,False,81428,90,4085,4084,275,0.03484,0.02595,1.342,205.82,13.631,1.336,5.08
7450_liver_sbr_Male_10-U1,SBR,prolif,senepy_score,deepscence_prolif,False,59284,50,2983,2983,75,0.01273,0.02548,0.5,150.14,11.641,0.5,-6.45
7450_liver_sbr_Male_10-U1,SBR,prolif,cdkn1a_counts,deepscence_prolif,False,81428,90,1813,4084,123,0.0213,0.01575,1.353,91.41,9.175,1.346,3.44
7450_liver_sbr_Male_10-U1,SBR,lmnb1,tierA_score,deepscence_lmnb1,False,81428,90,4085,4084,275,0.03484,0.02595,1.342,205.82,13.631,1.336,5.08
7450_liver_sbr_Male_10-U1,SBR,lmnb1,senepy_score,deepscence_lmnb1,False,59284,50,2983,2983,75,0.01273,0.02548,0.5,150.14,11.641,0.5,-6.45
7450_liver_sbr_Male_10-U1,SBR,lmnb1,cdkn1a_counts,deepscence_lmnb1,False,81428,90,1813,4084,123,0.0213,0.01575,1.353,91.41,9.175,1.346,3.44
7450_liver_sbr_Male_10-U1,SBR,consensus,tierA_score,deepscence_consensus,True,81428,90,4085,4085,169,0.02112,0.02561,0.825,205.87,13.633,0.821,-2.7
